name;year;sex;births;prop;rank;rank_change_yoy
Adele;2011;f;4;0.00012259;1038;301
Adele;2012;f;11;0.00033042;562;476
Adele;2013;f;13;0.000386813;523;39
Adele;2014;f;11;0.000315457;592;-69
Adele;2015;f;17;0.000478092;430;162
Adele;2016;f;19;0.000521878;406;24
Adele;2017;f;11;0.000304844;599;-193
Adele;2018;f;9;0.000246231;716;-117
Adele;2019;f;14;0.000389397;518;198
Adele;2020;f;14;0.000392586;496;22
Adele;2021;f;20;0.000534688;392;104
Adele;2022;f;19;0.000531201;378;14
Adelina;2000;f;18;0.00060014;345;
Adelina;2001;f;14;0.000495382;393;-48
Adelina;2002;f;6;0.000213045;659;-266
Adelina;2003;f;4;0.000142867;796;-137
Adelina;2004;f;6;0.000207641;687;109
Adelina;2005;f;2;6.92E-05;1125;-438
Adelina;2006;f;3;0.000103114;1013;112
Adelina;2007;f;6;0.000201281;758;255
Adelina;2008;f;4;0.000130826;945;-187
Adelina;2009;f;8;0.000255143;671;274
Adelina;2010;f;6;0.000184219;820;-149
Adelina;2011;f;7;0.000214533;739;81
Adelina;2012;f;2;6.01E-05;1400;-661
Adelina;2013;f;11;0.000327303;576;824
Adelina;2014;f;6;0.000172068;892;-316
Adelina;2015;f;12;0.000337477;575;317
Adelina;2016;f;8;0.000219738;748;-173
Adelina;2017;f;11;0.000304844;599;149
Adelina;2018;f;6;0.000164154;942;-343
Adelina;2019;f;9;0.000250327;710;232
Adelina;2020;f;9;0.000252377;701;9
Adelina;2021;f;6;0.000160406;983;-282
Adelina;2022;f;8;0.000223664;756;227
Adeline;2000;f;8;0.000266729;557;
Adeline;2001;f;10;0.000353845;486;71
Adeline;2002;f;11;0.000390583;467;19
Adeline;2003;f;8;0.000285735;558;-91
Adeline;2004;f;7;0.000242248;643;-85
Adeline;2005;f;6;0.000207591;707;-64
Adeline;2006;f;5;0.000171857;796;-89
Adeline;2007;f;2;6.71E-05;1208;-412
Adeline;2008;f;3;9.81E-05;1050;158
Adeline;2009;f;2;6.38E-05;1284;-234
Adeline;2010;f;2;6.14E-05;1339;-55
Adeline;2011;f;2;6.13E-05;1369;-30
Adeline;2012;f;3;9.01E-05;1199;170
Adeline;2013;f;8;0.000238039;724;475
Adeline;2014;f;4;0.000114712;1117;-393
Adeline;2015;f;5;0.000140615;1007;110
Adeline;2016;f;6;0.000164803;919;88
Adeline;2017;f;11;0.000304844;599;320
Adeline;2018;f;8;0.000218872;771;-172
Adeline;2019;f;5;0.00013907;1045;-274
Adeline;2020;f;4;0.000112167;1200;-155
Adeline;2021;f;7;0.000187141;877;323
Adeline;2022;f;4;0.000111832;1199;-322
Adelisa;2000;f;10;0.000333411;487;
Adelisa;2001;f;9;0.00031846;519;-32
Adelisa;2002;f;2;7.10E-05;1020;-501
Adelisa;2003;f;4;0.000142867;796;224
Adelisa;2004;f;2;6.92E-05;1103;-307
Adelisa;2005;f;1;3.46E-05;1348;-245
Adelisa;2006;f;3;0.000103114;1013;335
Adelisa;2008;f;1;3.27E-05;1459;
Adelisa;2010;f;2;6.14E-05;1339;
Adelisa;2011;f;5;0.000153238;891;448
Adelisa;2012;f;1;3.00E-05;1683;-792
Adelisa;2013;f;2;5.95E-05;1429;254
Adelisa;2014;f;3;8.60E-05;1275;154
Adelisa;2015;f;1;2.81E-05;1769;-494
Adelisa;2017;f;1;2.77E-05;1860;
Adelisa;2019;f;2;5.56E-05;1606;
Adelisa;2022;f;2;5.59E-05;1849;
Adhira;2005;f;1;3.46E-05;1348;
Adhira;2011;f;1;3.06E-05;1625;
Adhira;2014;f;1;2.87E-05;1747;
Adhira;2016;f;1;2.75E-05;1839;
Adhira;2019;f;1;2.78E-05;1884;
Adhira;2021;f;2;5.35E-05;1600;
Adhira;2022;f;2;5.59E-05;1849;-249
Adiam;2001;f;1;3.54E-05;1162;
Adiam;2009;f;1;3.19E-05;1551;
Adiam;2012;f;2;6.01E-05;1400;
Adiam;2014;f;1;2.87E-05;1747;
Adiam;2015;f;1;2.81E-05;1769;-22
Adiam;2016;f;1;2.75E-05;1839;-70
Adiam;2018;f;2;5.47E-05;1567;
Adiam;2019;f;1;2.78E-05;1884;-317
Adiam;2020;f;1;2.80E-05;1906;-22
Adiam;2021;f;1;2.67E-05;1902;4
Adiam;2022;f;2;5.59E-05;1849;53
Adina;2000;f;14;0.000466776;400;
Adina;2001;f;12;0.000424613;434;-34
Adina;2002;f;9;0.000319568;531;-97
Adina;2003;f;15;0.000535753;390;141
Adina;2004;f;13;0.000449889;444;-54
Adina;2005;f;8;0.000276788;603;-159
Adina;2006;f;13;0.000446828;462;141
Adina;2007;f;8;0.000268375;645;-183
Adina;2008;f;13;0.000425184;481;164
Adina;2009;f;9;0.000287036;626;-145
Adina;2010;f;11;0.000337734;566;60
Adina;2011;f;10;0.000306476;615;-49
Adina;2012;f;5;0.000150191;951;-336
Adina;2013;f;11;0.000327303;576;375
Adina;2014;f;5;0.00014339;990;-414
Adina;2015;f;5;0.000140615;1007;-17
Adina;2016;f;6;0.000164803;919;88
Adina;2017;f;9;0.000249418;701;218
Adina;2018;f;8;0.000218872;771;-70
Adina;2019;f;4;0.000111256;1177;-406
Adina;2020;f;10;0.000280418;639;538
